wrong_term,correct_term,notes
utilise,use,British spelling — prefer US
utilization,use,wordy; simplify
in order to,to,verbose phrase
prior to,before,verbose phrase
subsequent to,after,verbose phrase
on a regular basis,regularly,verbose phrase
due to the fact that,because,verbose phrase
at this point in time,now,verbose phrase
make sure,ensure,informal
set up,configure,technical context preferred
start up,start,startup as noun only
shut down,stop,shutdown as noun only
e.g.,for example,spell out in body text
i.e.,that is,spell out in body text
click on,click,redundant preposition
press on,press,redundant preposition
the the,,duplicate word
